,image_path
106,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000156_000.png
107,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000156_001.png
108,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000162_000.png
109,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_000.png
110,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_001.png
111,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_002.png
112,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_003.png
113,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_004.png
114,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_005.png
115,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_006.png
116,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_007.png
117,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000165_008.png
118,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000168_000.png
119,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000168_001.png
120,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000172_000.png
121,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000172_001.png
122,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000172_002.png
123,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000172_003.png
124,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000172_004.png
125,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000172_005.png
126,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000172_006.png
127,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000174_000.png
128,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000174_001.png
129,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000174_002.png
130,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000174_003.png
131,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000174_004.png
132,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000174_005.png
133,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000175_000.png
134,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000175_001.png
135,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000175_002.png
136,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000176_000.png
137,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000176_001.png
138,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000176_002.png
139,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000185_000.png
140,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000191_000.png
141,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000196_000.png
142,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000202_000.png
143,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000202_001.png
144,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000210_000.png
145,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000210_001.png
146,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000213_000.png
147,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000213_001.png
148,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000213_002.png
149,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000213_003.png
150,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000213_004.png
151,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000213_005.png
152,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000215_000.png
153,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000222_000.png
154,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000227_000.png
155,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000227_001.png
156,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000230_000.png
157,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000230_001.png
158,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000230_002.png
159,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000230_003.png
160,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000230_004.png
161,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000230_005.png
162,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000230_006.png
163,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000230_007.png
164,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000232_000.png
165,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000232_001.png
166,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000235_000.png
167,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000238_000.png
168,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000238_001.png
169,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000238_002.png
170,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000239_000.png
171,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000239_001.png
172,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000239_002.png
173,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000239_003.png
174,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000239_004.png
175,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000239_005.png
176,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000252_000.png
177,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000252_001.png
178,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000255_000.png
179,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000255_001.png
180,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000255_002.png
181,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000255_003.png
182,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000255_004.png
183,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000255_005.png
184,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000260_000.png
185,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000265_000.png
186,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000265_001.png
187,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000265_002.png
188,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000265_003.png
189,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000265_004.png
190,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000265_005.png
191,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000269_000.png
192,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000269_001.png
193,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000270_000.png
194,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000270_001.png
195,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000270_002.png
196,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000279_000.png
197,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000286_000.png
198,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000291_000.png
199,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000296_000.png
200,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000296_001.png
201,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000296_002.png
202,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000296_003.png
203,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000298_000.png
204,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000304_000.png
205,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000304_001.png
206,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000304_002.png
207,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000305_000.png
208,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000305_001.png
209,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000305_002.png
210,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000313_000.png
211,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_000.png
212,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_001.png
213,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_002.png
214,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_003.png
215,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_004.png
216,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_005.png
217,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_006.png
218,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_007.png
219,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_008.png
220,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_009.png
221,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000318_010.png
222,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000319_000.png
223,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000328_000.png
224,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000330_000.png
225,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000336_000.png
226,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000341_000.png
227,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000347_000.png
228,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000351_000.png
229,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000354_000.png
230,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_000.png
231,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_001.png
232,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_002.png
233,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_003.png
234,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_004.png
235,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_005.png
236,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_006.png
237,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_007.png
238,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_008.png
239,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_009.png
240,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000359_010.png
241,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000362_000.png
242,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000362_001.png
243,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000362_002.png
244,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000362_003.png
245,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000362_004.png
246,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000362_005.png
247,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000369_000.png
248,C:\Users\reala\.cache\kagglehub\datasets\nih-chest-xrays\data\versions\3\images_001\images\00000372_000.png
